,book1,book2,num_conn
338,joshua,1-samuel,255
339,joshua,2-samuel,169
340,joshua,1-kings,229
341,joshua,2-kings,166
342,joshua,1-chronicles,503
343,joshua,2-chronicles,236
344,joshua,ezra,108
345,joshua,nehemiah,160
346,joshua,esther,24
347,joshua,job,131
348,joshua,psalms,480
349,joshua,proverbs,107
350,joshua,ecclesiastes,44
351,joshua,song-of-solomon,15
352,joshua,isaiah,268
353,joshua,jeremiah,323
354,joshua,lamentations,40
355,joshua,ezekiel,179
356,joshua,daniel,67
357,joshua,hosea,52
358,joshua,joel,24
359,joshua,amos,21
360,joshua,obadiah,13
361,joshua,jonah,18
362,joshua,micah,28
363,joshua,nahum,10
364,joshua,habakkuk,11
365,joshua,zephaniah,17
366,joshua,haggai,5
367,joshua,zechariah,49
368,joshua,malachi,18
369,joshua,matthew,120
370,joshua,mark,80
371,joshua,luke,182
372,joshua,john,91
373,joshua,acts,203
374,joshua,romans,53
375,joshua,1-corinthians,44
376,joshua,2-corithians,0
377,joshua,galatians,13
378,joshua,ephesians,15
379,joshua,philippians,14
380,joshua,colossians,10
381,joshua,1-thessalonians,5
382,joshua,2-thessalonians,5
383,joshua,1-timothy,9
384,joshua,2-timothy,9
385,joshua,titus,10
386,joshua,philemon,2
387,joshua,hebrews,65
388,joshua,james,9
389,joshua,1-peter,11
390,joshua,2-peter,5
391,joshua,1-john,14
392,joshua,2-john,1
393,joshua,3-john,4
394,joshua,jude,3
395,joshua,revelation,77
396,judges,genesis,567
397,judges,exodus,218
398,judges,leviticus,71
399,judges,numbers,236
400,judges,deuteronomy,244
401,judges,joshua,290
403,judges,ruth,38
404,judges,1-samuel,365
405,judges,2-samuel,223
406,judges,1-kings,201
407,judges,2-kings,179
408,judges,1-chronicles,221
409,judges,2-chronicles,139
410,judges,ezra,48
411,judges,nehemiah,101
412,judges,esther,12
413,judges,job,195
414,judges,psalms,377
415,judges,proverbs,158
416,judges,ecclesiastes,56
417,judges,song-of-solomon,36
418,judges,isaiah,239
419,judges,jeremiah,203
420,judges,lamentations,23
421,judges,ezekiel,155
422,judges,daniel,35
423,judges,hosea,69
424,judges,joel,13
425,judges,amos,22
426,judges,obadiah,8
427,judges,jonah,10
428,judges,micah,18
429,judges,nahum,10
430,judges,habakkuk,6
431,judges,zephaniah,12
432,judges,haggai,6
433,judges,zechariah,37
434,judges,malachi,5
435,judges,matthew,193
436,judges,mark,138
437,judges,luke,258
438,judges,john,108
439,judges,acts,192
440,judges,romans,20
441,judges,1-corinthians,51
442,judges,2-corithians,0
443,judges,galatians,12
444,judges,ephesians,8
445,judges,philippians,9
446,judges,colossians,10
447,judges,1-thessalonians,7
448,judges,2-thessalonians,3
449,judges,1-timothy,15
450,judges,2-timothy,7
451,judges,titus,2
452,judges,philemon,0
453,judges,hebrews,29
454,judges,james,15
455,judges,1-peter,12
456,judges,2-peter,5
457,judges,1-john,7
458,judges,2-john,1
459,judges,3-john,0
460,judges,jude,1
461,judges,revelation,34
462,ruth,genesis,57
463,ruth,exodus,12
464,ruth,leviticus,6
465,ruth,numbers,19
466,ruth,deuteronomy,8
467,ruth,joshua,10
468,ruth,judges,28
470,ruth,1-samuel,34
471,ruth,2-samuel,24
472,ruth,1-kings,20
473,ruth,2-kings,11
474,ruth,1-chronicles,12
475,ruth,2-chronicles,7
476,ruth,ezra,2
477,ruth,nehemiah,4
478,ruth,esther,2
479,ruth,job,29
480,ruth,psalms,41
481,ruth,proverbs,22
482,ruth,ecclesiastes,6
483,ruth,song-of-solomon,4
484,ruth,isaiah,20
485,ruth,jeremiah,17
486,ruth,lamentations,4
487,ruth,ezekiel,17
488,ruth,daniel,4
489,ruth,hosea,6
490,ruth,joel,5
491,ruth,amos,1
492,ruth,obadiah,0
493,ruth,jonah,0
494,ruth,micah,2
495,ruth,nahum,0
496,ruth,habakkuk,1
497,ruth,zephaniah,1
498,ruth,haggai,0
499,ruth,zechariah,3
500,ruth,malachi,0
501,ruth,matthew,33
502,ruth,mark,16
503,ruth,luke,35
504,ruth,john,23
505,ruth,acts,18
506,ruth,romans,5
507,ruth,1-corinthians,4
508,ruth,2-corithians,0
509,ruth,galatians,1
510,ruth,ephesians,2
511,ruth,philippians,3
512,ruth,colossians,2
513,ruth,1-thessalonians,0
514,ruth,2-thessalonians,0
515,ruth,1-timothy,3
516,ruth,2-timothy,1
517,ruth,titus,0
518,ruth,philemon,0
519,ruth,hebrews,1
520,ruth,james,4
521,ruth,1-peter,2
522,ruth,2-peter,1
523,ruth,1-john,3
524,ruth,2-john,1
525,ruth,3-john,0
526,ruth,jude,0
527,ruth,revelation,6
528,1-samuel,genesis,582
529,1-samuel,exodus,240
530,1-samuel,leviticus,77
531,1-samuel,numbers,189
532,1-samuel,deuteronomy,187
